Amostra	MassacorporalKg	Comprimentom
urso1	268.2243366	1.379646289
urso2	235.9083306	1.449634784
urso3	273.5605596	1.72486177
urso4	254.1957866	2.276160131
urso5	272.0341342	1.520522087
urso6	258.3489569	2.746579928
urso7	251.9070172	1.356704325
urso8	257.7880093	1.797481074
urso9	232.868984	1.70535988
urso10	275.8524371	2.659610861
urso11	290.8453917	1.52060376
urso12	248.6365235	2.460509143
urso13	249.5789507	1.728369185
urso14	262.8413569	2.108040735
urso15	287.6740969	2.131709871
urso16	277.5220502	2.093620211
urso17	238.2090392	2.398885338
urso18	242.1802057	2.560305484
urso19	284.0867604	2.640125005
urso20	288.0897125	1.945444531
urso21	258.2026881	2.648202116
urso22	260.9893148	3.097742821
urso23	273.8589992	2.219936092
urso24	242.7814369	3.137055109
urso25	269.8529462	2.254763594
urso26	241.2332603	2.509413113
urso27	257.3389041	1.982767193
urso28	287.8008706	2.763317782
urso29	279.7571082	2.44557243
urso30	263.3305714	2.82383609
urso31	254.1560977	1.667596579
urso32	243.8521538	1.99492027
urso33	280.2369723	2.443642499
urso34	243.5949698	2.679792739
urso35	276.3155534	1.394776037
urso36	260.8610445	2.660318599
urso37	279.0540415	2.72489704
urso38	244.5231899	2.515727901
urso39	269.4068695	2.031869051
urso40	261.7901609	2.510924458
urso41	268.4063689	2.073015064
urso42	274.3498761	2.199051345
urso43	288.1250944	2.3864153
urso44	252.3070081	2.661114599
urso45	255.7653812	2.554252592
urso46	247.7227244	3.09818357
urso47	241.4560067	1.705111684
urso48	271.7971303	1.562287369
urso49	275.0779705	1.851267514
urso50	243.4422082	2.753712281
urso51	254.0672156	2.606066731
urso52	257.3377567	2.882664717
urso53	262.3261341	1.476009289
urso54	243.6895611	2.682781521
urso55	297.0543163	2.505175089
urso56	272.2330125	2.333454402
urso57	270.8590355	1.787976593
urso58	243.6609459	2.481659442
urso59	225.4816711	2.585511147
urso60	271.5860488	3.104390543
urso61	266.2700982	2.739880151
urso62	292.5394047	2.679980316
urso63	254.2838417	2.610652676
urso64	272.4279698	2.634701567
urso65	285.8227652	2.915191928
urso66	251.4605437	2.531947537
urso67	267.005636	3.517969599
urso68	274.7033135	3.087501808
urso69	280.5025874	2.265745072
urso70	261.6768247	2.242822421
urso71	275.8945562	2.340476837
urso72	269.8469333	2.339803098
urso73	255.4537094	2.271316807
urso74	243.1311314	2.66415971
urso75	268.4661725	2.869281796
urso76	252.8882907	2.375456801
