GEO_COD	Cult_2010	Cult_2011	Cult_2012	Cult_2013	Cult_2014
3509106	5853	5771	5719	5446	5546
3511003	26495	26193	28235	28429	31445
3514403	10610	11326	11629	12562	13436
3515301	4490	4513	5463	6315	7639
3515350	1533	2524	2455	3344	4021
3528700	14399	14357	15281	18050	19642
3530201	6350	11070	13265	14660	19404
3531605	3945	4591	4750	5404	6721
3532207	10525	12097	13449	13782	14399
3533106	666	636	652	692	929
3534807	8043	8464	8903	9177	10191
3535408	2635	2627	2747	6524	8774
3536406	9526	9743	10080	11704	12353
3538303	2997	2642	2715	2669	2560
3541208	3996	3897	3668	3634	3724
3541307	1391	1382	2313	7388	11290
3541505	8635	9054	9707	9879	10431
3543238	4131	4248	4242	4180	4408
3544251	2350	2872	2873	5693	6371
3545506	15080	15662	15747	17167	18823
3547106	4058	4680	5020	5660	6665
3547700	4671	4642	4373	4510	4730
3549300	3747	3770	3930	4159	4654
3553906	2047	2810	3299	4091	4253
3554300	27741	27422	30481	30812	33068
3555109	4573	4697	5282	6105	7426
3500105	15847	15672	15116	15151	15060
3500204	3933	5253	5399	6225	6214
3500303	12337	12554	12597	12404	12778
3500402	76	76	76	73	8
3500501	0	0	0	0	0
3500550	4021	4000	4113	4957	5473
3500600	0	0	0	0	0
3500709	15565	15800	15531	14468	15207
3500758	418	419	437	574	574
3500907	12003	12412	12913	13224	15060
3501004	24905	24532	24470	24574	24361
3501103	12280	13384	13589	13923	14635
3501152	0	0	0	0	0
3501202	3835	4502	5406	7201	8725
3501400	0	0	0	0	0
3501509	0	0	0	0	0
3501608	2391	2268	2157	2139	2073
3501707	8118	8021	8108	8138	8143
3501806	3247	4046	4680	5721	6262
3501905	2746	2745	2667	2568	2405
3502002	5435	5296	5392	6928	7148
3502200	1617	1577	1551	1561	1155
3502309	6971	7067	6247	6188	7600
3502507	0	0	0	0	0
3502606	1313	1425	1425	1439	1469
3502705	0	0	0	0	0
3502754	0	0	0	0	0
3502804	37756	37801	38236	37460	38623
3502903	585	568	558	628	594
3503000	14858	14650	14216	14571	14637
3503109	2398	2356	2613	2599	2560
3503158	0	0	0	0	0
3503208	48519	48205	48494	48590	49269
3503307	31386	31209	31232	30913	31928
3503356	4977	5181	5429	6075	7838
3503406	7894	7832	7829	8271	9173
3503505	0	0	0	0	0
3503604	6720	6692	6684	6606	6518
3503703	9721	9626	9527	9539	9550
3503802	2148	2180	2281	2351	2515
3503901	0	0	0	0	0
3503950	77	77	404	424	530
3504008	13691	13934	13929	14058	14066
3504107	0	0	0	0	0
3504206	5993	5920	5822	7238	9102
3504305	4797	5002	4766	4308	3971
3504404	21543	21265	22019	21730	21506
3504503	15687	16364	17233	17598	18378
3504602	2206	2100	2134	1849	1993
3504701	1113	1717	2281	3087	3720
3504800	4311	4334	4497	4678	4619
3504909	0	0	0	0	0
3505005	0	0	0	0	0
3505104	7676	7713	8184	7975	9289
3505203	24770	24342	24256	24816	24597
3505302	10089	10067	10049	9983	9998
3505351	0	0	0	0	0
3505401	0	0	0	0	0
3505500	70670	72035	73668	75490	76787
3505609	11032	11089	11042	11046	10955
3505708	0	0	0	0	0
3505807	2062	2045	2352	2396	2483
3505906	47560	47498	47701	47029	47774
3506003	1179	896	917	930	1191
3506102	32886	33017	34593	35325	36097
3506201	17957	17667	16832	17112	17334
3506300	7746	7638	7482	7412	7472
3506359	0	0	0	0	0
3506409	3996	4149	4377	5186	5576
3506508	10855	10962	10957	11359	12199
3506607	0	0	0	0	0
3506706	26878	26359	27139	27763	29234
3506805	16770	16802	16317	16233	16196
3506904	92	92	93	139	60
3507001	6568	6468	6406	6372	6227
3507100	0	0	0	0	0
3507159	0	0	0	0	0
3507209	3594	3651	3631	3889	4380
3507308	7381	7324	7356	7362	7325
3507407	25357	25839	26349	26881	27770
3507456	6694	6795	6351	6087	6061
